,Year,Mean,Geom_Mean,CV,Max
0,2000,1.3523684719537856,1.196711697066646,0.5376527694722637,10.95365
1,2001,1.463666491001364,1.2830593401980284,0.5516611956992079,10.623566
2,2002,1.3505377488210661,1.1833291024168167,0.5885709251695949,11.928972
3,2003,1.3268162625086344,1.1763139797504671,0.5059094191645241,8.183566
4,2004,1.3335214009933476,1.1954858451222603,0.5013708321122787,11.014536999999999
5,2005,1.3514340462792815,1.1992622632765126,0.5164866353588041,7.983196700000001
6,2006,1.4117872012341843,1.2482636852415663,0.5233792797683017,9.548491
7,2007,1.3163586574482666,1.1717086263878962,0.5108362872408593,10.06677
8,2008,1.3212193700982782,1.1681072769254768,0.5320360983159881,12.111485499999999
9,2009,1.2324509686887788,1.0906178612167825,0.5098034827597255,7.6979766000000005
10,2010,1.4059429547050817,1.2267714364032691,0.5641968123722849,9.037659
11,2011,1.3614708483858344,1.2286055205222752,0.46832734985552843,7.633692
12,2012,1.4177002984317353,1.2595047893956053,0.5137849022965509,10.3405075
13,2013,1.224833694649946,1.0830559068132708,0.5066666474762413,6.6130557
14,2014,1.3140878267282512,1.1758819346514442,0.4970812808566172,9.026100999999999
15,2015,1.281330776582883,1.129977916702898,0.5372157625781159,10.857586
16,2016,1.5599507899070093,1.3772427296507446,0.5378539332650457,9.064160000000001
17,2017,1.3578960086222376,1.2003369767145764,0.5434055226188821,12.211927000000001
18,2018,1.381184149717939,1.222980775540814,0.5202201360103118,10.278907
19,2019,1.368082995606786,1.209186083264614,0.5328260521939758,9.716947
20,2020,1.4976921282110578,1.3406154878964334,0.47414108973866914,7.8870195999999995
