year,mean,max,min,area
1985,-1.2680842601736115,-1.2508735160150444,-1.2852950043321787,Ano Nuevo SMR
1990,-0.388429499489102,-0.37135413186169686,-0.40550486711650713,Ano Nuevo SMR
1995,1.0351277113033337,1.1874597163509364,0.882795706255731,Ano Nuevo SMR
2000,-1.0122667850311462,-0.8639582980164313,-1.160575272045861,Ano Nuevo SMR
2005,0.45083048434168216,0.4960110312331363,0.40564993745022804,Ano Nuevo SMR
2010,0.15084374983857618,0.2474355318023811,0.05425196787477127,Ano Nuevo SMR
2015,2.591217923475373,2.7635503620829986,2.4188854848677472,Ano Nuevo SMR
2020,-3.1083238446217782,-2.879527443734686,-3.3371202455088707,Ano Nuevo SMR
2025,2.9140886697646726,3.110201245624605,2.71797609390474,Ano Nuevo SMR
2030,0.9061053968144428,0.9199797478648151,0.8922310457640705,Ano Nuevo SMR
2035,-0.6551146703624262,-0.6069467984888277,-0.7032825422360247,Ano Nuevo SMR
2040,-1.9512647328262505,-1.943940155816307,-1.958589309836194,Ano Nuevo SMR
2045,1.7130839153553135,1.780819882898383,1.645347947812244,Ano Nuevo SMR
2050,-0.6143582769371783,-0.5490374694452811,-0.6796790844290754,Ano Nuevo SMR
2055,0.5214276906868012,0.5584524415619683,0.48440293981163407,Ano Nuevo SMR
2060,0.39725898812180915,0.43672031893842345,0.35779765730519486,Ano Nuevo SMR
2065,-0.6970367217769837,-0.4253126694960585,-0.968760774057909,Ano Nuevo SMR
2070,0.247509305190734,0.4228513803624949,0.07216723001897307,Ano Nuevo SMR
2075,1.265917671380791,1.2862091552562944,1.2456261875052874,Ano Nuevo SMR
2080,-0.0487846464421704,-0.015206764257143845,-0.08236252862719695,Ano Nuevo SMR
2085,0.3724245530778383,0.4540833265259927,0.29076577962968386,Ano Nuevo SMR
2090,-1.4900226231548874,-1.3957420664066014,-1.5843031799031735,Ano Nuevo SMR
2095,0.39480189582943126,0.43600480666498953,0.353598984993873,Ano Nuevo SMR
2100,-0.148757853534093,-0.11186529229858522,-0.18565041476960076,Ano Nuevo SMR
1985,-0.9687790536982614,-0.9687790536982614,-0.9687790536982614,Natural Bridges SMR
1990,-0.28049382005015033,-0.28049382005015033,-0.28049382005015033,Natural Bridges SMR
1995,0.9317873204978735,0.9317873204978735,0.9317873204978735,Natural Bridges SMR
2000,-1.1830542629246086,-1.1830542629246086,-1.1830542629246086,Natural Bridges SMR
2005,0.6483620657393026,0.6483620657393026,0.6483620657393026,Natural Bridges SMR
2010,0.04972499220322568,0.04972499220322568,0.04972499220322568,Natural Bridges SMR
2015,2.0903417713930246,2.0903417713930246,2.0903417713930246,Natural Bridges SMR
2020,-2.828381560421782,-2.828381560421782,-2.828381560421782,Natural Bridges SMR
2025,2.952580527187269,2.952580527187269,2.952580527187269,Natural Bridges SMR
2030,1.0339899661789111,1.0339899661789111,1.0339899661789111,Natural Bridges SMR
2035,-0.6152144827025836,-0.6152144827025836,-0.6152144827025836,Natural Bridges SMR
2040,-1.8692440603998755,-1.8692440603998755,-1.8692440603998755,Natural Bridges SMR
2045,1.483564995684496,1.483564995684496,1.483564995684496,Natural Bridges SMR
2050,-0.4968157278326295,-0.4968157278326295,-0.4968157278326295,Natural Bridges SMR
2055,0.6610399164385719,0.6610399164385719,0.6610399164385719,Natural Bridges SMR
2060,0.47620016428814793,0.47620016428814793,0.47620016428814793,Natural Bridges SMR
2065,-1.0370891857250157,-1.0370891857250157,-1.0370891857250157,Natural Bridges SMR
2070,0.45163888513753747,0.45163888513753747,0.45163888513753747,Natural Bridges SMR
2075,1.1812109526163788,1.1812109526163788,1.1812109526163788,Natural Bridges SMR
2080,-0.6559995426466152,-0.6559995426466152,-0.6559995426466152,Natural Bridges SMR
2085,1.0608600818456466,1.0608600818456466,1.0608600818456466,Natural Bridges SMR
2090,-1.2718991281913503,-1.2718991281913503,-1.2718991281913503,Natural Bridges SMR
2095,0.3026401588239409,0.3026401588239409,0.3026401588239409,Natural Bridges SMR
2100,-0.2275293214744636,-0.2275293214744636,-0.2275293214744636,Natural Bridges SMR
1985,-0.5880238371617494,-0.5880238371617494,-0.5880238371617494,Asilomar SMR
1990,-0.12113967016133032,-0.12113967016133032,-0.12113967016133032,Asilomar SMR
1995,1.0197694128741226,1.0197694128741226,1.0197694128741226,Asilomar SMR
2000,-1.309614719085019,-1.309614719085019,-1.309614719085019,Asilomar SMR
2005,0.8844059468460657,0.8844059468460657,0.8844059468460657,Asilomar SMR
2010,0.3044591499360578,0.3044591499360578,0.3044591499360578,Asilomar SMR
2015,1.6068894005336496,1.6068894005336496,1.6068894005336496,Asilomar SMR
2020,-2.54305783402255,-2.54305783402255,-2.54305783402255,Asilomar SMR
2025,2.6419791756419624,2.6419791756419624,2.6419791756419624,Asilomar SMR
2030,0.6608688738729427,0.6608688738729427,0.6608688738729427,Asilomar SMR
2035,-0.3782871203916578,-0.3782871203916578,-0.3782871203916578,Asilomar SMR
2040,-1.6209099234292523,-1.6209099234292523,-1.6209099234292523,Asilomar SMR
2045,1.3769050281267425,1.3769050281267425,1.3769050281267425,Asilomar SMR
2050,-0.4186808402422244,-0.4186808402422244,-0.4186808402422244,Asilomar SMR
2055,0.438551005520079,0.438551005520079,0.438551005520079,Asilomar SMR
2060,0.542542735789258,0.542542735789258,0.542542735789258,Asilomar SMR
2065,-0.3256188539046967,-0.3256188539046967,-0.3256188539046967,Asilomar SMR
2070,-0.33747287582083985,-0.33747287582083985,-0.33747287582083985,Asilomar SMR
2075,0.9599244817834887,0.9599244817834887,0.9599244817834887,Asilomar SMR
