marine_site_name,site_code,latitude,longitude,mpa_designation,mpa_region,georegion,island,start_date,end_date,number_samples
Otter Harbor,SMOH,34.05203,-120.40758000000001,reference,South Coast,CA Channel Islands North,San_Miguel,2003-01-15,2019-01-31,27
Paradise Cove,PCOV,34.01201,-118.79225,SMR,South Coast,CA South,Mainland,2002-11-05,2018-11-08,31
Piedras Blancas,PBL,35.66493,-121.28698999999999,SMR,Central Coast,CA Central,Mainland,2007-09-29,2011-10-28,4
Point Fermin,PTFM,33.706790000000005,-118.28598999999998,reference,South Coast,CA South,Mainland,2002-11-04,2018-11-23,33
Point Lobos,PTL,36.513659999999994,-121.94688000000001,SMR,Central Coast,CA Central,Mainland,2002-11-21,2018-11-05,35
Point Pinos,PIN,36.63796,-121.93758000000001,SMR,Central Coast,CA Central,Mainland,2007-11-07,2011-10-26,4
Point Sierra Nevada,PSN,35.72883,-121.31866000000001,reference,Central Coast,CA Central,Mainland,2002-11-04,2018-11-24,39
Prisoners Harbor,SCPH,34.020379999999996,-119.6867,reference,South Coast,CA Channel Islands North,Santa_Cruz,2002-11-05,2019-03-17,26
S Frenchys Cove,ANSFC,34.0066,-119.41077,SC,South Coast,CA Channel Islands North,Anacapa,2003-01-27,2018-11-08,28
San Simeon Point,SSP,35.63455,-121.19561999999999,reference,Central Coast,CA Central,Mainland,2007-09-27,2011-11-22,4
Sandhill Bluff,SAD,36.98017,-122.15503000000001,reference,Central Coast,CA Central,Mainland,2003-03-22,2018-10-11,36
Saunders Reef,SAU,38.86138,-123.65361000000001,SMCA,North Central Coast,CA North Central,Mainland,2010-06-13,2011-05-07,2
Scorpion Rock,SCSR,34.04552,-119.54685,SMR,South Coast,CA Channel Islands North,Santa_Cruz,2003-01-31,2018-12-07,24
Scripps Reef,SCRE,32.87165,-117.25328,SMCA,South Coast,CA South,Mainland,2002-11-03,2018-11-09,30
Sea Lion Rookery,SBSLR,33.47201,-119.03066000000001,SMR,South Coast,CA Channel Islands South,Santa_Barbara,2002-11-20,2019-01-30,16
Sea Ranch,SEA,38.7305,-123.48863999999999,reference,North Central Coast,CA North Central,Mainland,2004-06-06,2019-06-16,17
Shaws Cove,SHCO,33.54477,-117.79941000000001,SMR,South Coast,CA South,Mainland,2002-11-17,2018-12-07,30
Shell Beach,SHB,35.16881,-120.69668,reference,Central Coast,CA Central,Mainland,2002-11-21,2019-02-20,41
Slide Ranch,SLR,37.87406,-122.60094,reference,North Central Coast,CA North Central,Mainland,2002-12-03,2018-06-15,19
Stairs,STA,34.73038,-120.61546000000001,SMR,Central Coast,CA Central,Mainland,2002-11-06,2018-12-07,40
Stillwater,SWC,36.56087,-121.94053000000001,SMCA,Central Coast,CA Central,Mainland,2002-11-06,2018-11-06,35
Swamis Beach,SWAM,33.0351,-117.29425,SMCA,South Coast,CA South,Mainland,2017-12-02,2018-11-08,2
Terrace Point,TPT,36.948409999999996,-122.06456999999999,SMR,Central Coast,CA Central,Mainland,2002-11-18,2018-10-10,35
Thousand Springs,SNTS,33.28505,-119.52983,reference,South Coast,CA Channel Islands South,San_Nicolas,2014-12-04,2019-02-16,10
Trailer,SCTR,34.05187,-119.9032,reference,South Coast,CA Channel Islands North,Santa_Cruz,2002-11-02,2019-03-19,30
Treasure Island,TRIS,33.51335,-117.75793,SMCA,South Coast,CA South,Mainland,2002-11-16,2018-10-26,35
Vista del Mar,SIM,35.60414,-121.14232,SMCA,Central Coast,CA Central,Mainland,2007-09-28,2011-11-24,4
West Cove,CLWC,33.01477,-118.60613000000001,reference,South Coast,CA Channel Islands South,San_Clemente,2011-06-03,2019-04-18,21
White Point,WHPT,33.71539,-118.31961000000001,reference,South Coast,CA South,Mainland,2002-11-20,2018-11-07,31
Wilder Ranch,WIL,36.94915,-122.10383,SMR,Central Coast,CA Central,Mainland,2007-10-11,2011-10-25,4
Willows Anchorage,SCWA,33.96183,-119.75495,reference,South Coast,CA Channel Islands North,Santa_Cruz,2002-11-04,2019-03-20,26
